ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
106,2014,2014-11-30,12,29.197,ATL,,ARI,W 29-18,*,30,41,73.17,361,2,1,105.8,1,3,8.80,8.68,3,4,1.33,0,,0,0,0.0,0,0
107,2014,2014-12-08,13,29.205,ATL,@,GNB,L 37-43,*,24,39,61.54,375,4,1,116.9,1,1,9.62,10.51,2,23,11.50,0,,0,0,0.0,0,0
108,2014,2014-12-14,14,29.211,ATL,,PIT,L 20-27,*,26,37,70.27,310,2,1,102.3,0,0,8.38,8.24,3,27,9.00,0,,0,0,0.0,0,0
109,2014,2014-12-21,15,29.218,ATL,@,NOR,W 30-14,*,30,40,75.00,322,1,0,106.5,0,0,8.05,8.55,2,7,3.50,0,,0,0,0.0,0,0
110,2014,2014-12-28,16,29.225,ATL,,CAR,L 3-34,*,29,47,61.70,260,0,2,58.8,6,35,5.53,3.62,1,6,6.00,0,,0,0,0.0,0,0
111,2015,2015-09-14,1,30.120,ATL,,PHI,W 26-24,*,23,34,67.65,298,2,2,90.1,1,8,8.76,7.29,5,7,1.40,0,,0,0,0.0,0,0
112,2015,2015-09-20,2,30.126,ATL,@,NYG,W 24-20,*,30,46,65.22,363,1,0,96.6,2,17,7.89,8.33,1,-1,-1.00,0,,0,0,0.0,0,0
113,2015,2015-09-27,3,30.133,ATL,@,DAL,W 39-28,*,24,36,66.67,285,2,0,109.1,1,5,7.92,9.03,2,17,8.50,0,,0,0,0.0,0,0
114,2015,2015-10-04,4,30.140,ATL,,HOU,W 48-21,*,19,27,70.37,256,1,0,112.6,2,13,9.48,10.22,1,-1,-1.00,0,,0,0,0.0,0,0
115,2015,2015-10-11,5,30.147,ATL,,WAS,W 25-19,*,24,42,57.14,254,0,2,55.1,3,12,6.05,3.90,3,20,6.67,0,,0,0,0.0,0,0
116,2015,2015-10-15,6,30.151,ATL,@,NOR,L 21-31,*,30,44,68.18,295,2,0,102.0,5,32,6.70,7.61,4,10,2.50,0,,0,0,0.0,0,0
117,2015,2015-10-25,7,30.161,ATL,@,TEN,W 10-7,*,22,38,57.89,251,1,2,64.7,0,0,6.61,4.76,2,-3,-1.50,0,,0,0,0.0,0,0
118,2015,2015-11-01,8,30.168,ATL,,TAM,L 20-23,*,37,45,82.22,397,2,1,109.0,1,2,8.82,8.71,3,2,0.67,0,,0,0,0.0,0,0
119,2015,2015-11-08,9,30.175,ATL,@,SFO,L 16-17,*,30,45,66.67,303,1,0,93.1,2,18,6.73,7.18,1,2,2.00,0,,0,0,0.0,0,0
120,2015,2015-11-22,10,30.189,ATL,,IND,L 21-24,*,25,46,54.35,280,3,3,67.3,1,5,6.09,4.46,2,7,3.50,0,,0,0,0.0,0,0
121,2015,2015-11-29,11,30.196,ATL,,MIN,L 10-20,*,22,31,70.97,230,1,2,76.0,2,17,7.42,5.16,1,-1,-1.00,0,,0,0,0.0,0,0
122,2015,2015-12-06,12,30.203,ATL,@,TAM,L 19-23,*,30,45,66.67,269,1,1,80.7,3,14,5.98,5.42,1,4,4.00,0,,0,0,0.0,0,0
123,2015,2015-12-13,13,30.210,ATL,@,CAR,L 0-38,*,22,34,64.71,224,0,1,71.2,3,42,6.59,5.26,1,-1,-1.00,0,,0,0,0.0,0,0
124,2015,2015-12-20,14,30.217,ATL,@,JAX,W 23-17,*,22,35,62.86,246,1,1,81.4,1,1,7.03,6.31,3,0,0.00,0,,0,0,0.0,0,0
125,2015,2015-12-27,15,30.224,ATL,,CAR,W 20-13,*,23,30,76.67,306,1,0,119.6,2,10,10.20,10.87,6,1,0.17,0,,0,0,0.0,0,0
126,2015,2016-01-03,16,30.231,ATL,,NOR,L 17-20,*,24,36,66.67,334,2,1,103.2,1,7,9.28,9.14,0,0,,0,,0,0,0.0,0,0
127,2016,2016-09-11,1,31.117,ATL,,TAM,L 24-31,*,27,39,69.23,334,2,0,112.6,3,12,8.56,9.59,3,10,3.33,0,,0,0,0.0,0,0
128,2016,2016-09-18,2,31.124,ATL,@,OAK,W 35-28,*,26,34,76.47,396,3,1,131.5,1,7,11.65,12.09,0,0,,0,1,0,2,0.0,0,0
129,2016,2016-09-26,3,31.132,ATL,@,NOR,W 45-32,*,20,30,66.67,240,2,0,113.2,2,15,8.00,9.33,5,23,4.60,0,,0,0,0.0,0,0
130,2016,2016-10-02,4,31.138,ATL,,CAR,W 48-33,*,28,37,75.68,503,4,1,142.0,3,22,13.59,14.54,4,14,3.50,0,,0,0,0.0,0,0
131,2016,2016-10-09,5,31.145,ATL,@,DEN,W 23-16,*,15,28,53.57,267,1,0,98.4,2,17,9.54,10.25,3,3,1.00,0,,0,0,0.0,0,0
132,2016,2016-10-16,6,31.152,ATL,@,SEA,L 24-26,*,27,42,64.29,335,3,1,102.8,4,25,7.98,8.33,1,2,2.00,0,,0,0,0.0,0,0
133,2016,2016-10-23,7,31.159,ATL,,SDG,L 30-33,*,22,34,64.71,273,1,1,87.0,3,17,8.03,7.29,3,8,2.67,0,,0,0,0.0,0,0
134,2016,2016-10-30,8,31.166,ATL,,GNB,W 33-32,*,28,35,80.00,288,3,0,129.5,2,11,8.23,9.94,2,9,4.50,0,,0,0,0.0,0,0
135,2016,2016-11-03,9,31.170,ATL,@,TAM,W 43-28,*,25,34,73.53,344,4,0,144.7,2,19,10.12,12.47,2,0,0.00,0,,0,0,0.0,0,0
136,2016,2016-11-13,10,31.180,ATL,@,PHI,L 15-24,*,18,33,54.55,267,1,1,78.7,2,12,8.09,7.33,0,0,,0,,0,0,0.0,0,0
137,2016,2016-11-27,11,31.194,ATL,,ARI,W 38-19,*,26,34,76.47,269,2,1,106.1,3,25,7.91,7.76,4,15,3.75,0,,0,0,0.0,0,0
138,2016,2016-12-04,12,31.201,ATL,,KAN,L 28-29,*,22,34,64.71,297,1,1,90.0,2,7,8.74,8.00,3,23,7.67,0,,0,0,0.0,0,0
139,2016,2016-12-11,13,31.208,ATL,@,LAR,W 42-14,*,18,28,64.29,237,3,0,126.6,2,17,8.46,10.61,0,0,,0,,0,0,0.0,0,0
140,2016,2016-12-18,14,31.215,ATL,,SFO,W 41-13,*,17,23,73.91,286,2,0,144.5,1,0,12.43,14.17,1,-1,-1.00,0,,0,0,0.0,0,0
141,2016,2016-12-24,15,31.221,ATL,@,CAR,W 33-16,*,27,33,81.82,277,2,0,121.8,4,21,8.39,9.61,2,9,4.50,0,,0,0,0.0,0,0
